,group,variable,value
0, B16470,ARR-2,0
1, B16470,QnrB1,0
2, B16470,QnrB1-like,0
3, B16470,QnrB66-like,0
4, B16470,QnrS1,0
5, B16470,aac(3)-IIa-like,0
6, B16470,aac(6')-Ib-like,0
7, B16470,aac(6')Ib-cr,0
8, B16470,aac(6')Ib-cr-like,1
9, B16470,aacA4-like,1
10, B16470,aadA1,0
11, B16470,aadA2,0
12, B16470,aadA2-like,1
13, B16470,aph(3')-VIa-like,0
14, B16470,armA,0
15, B16470,armA-like,1
16, B16470,blaCTX-M-15,1
17, B16470,blaCTX-M-15-like,0
18, B16470,blaLEN12-like,0
19, B16470,blaNDM-1,0
20, B16470,blaNDM-7-like,0
21, B16470,blaOXA-1,1
22, B16470,blaOXA-232,0
23, B16470,blaOXA-232-like,1
24, B16470,blaOXA-9-like,0
25, B16470,blaSHV-1-like,0
26, B16470,blaSHV-11,0
27, B16470,blaSHV-11-like,0
28, B16470,blaSHV-28,1
29, B16470,blaSHV-28-like,0
30, B16470,blaTEM-1B,0
31, B16470,catA1-like,0
32, B16470,catB3-like,1
33, B16470,dfrA1,1
34, B16470,dfrA12,1
35, B16470,dfrA14-like,1
36, B16470,erm(B)-like,1
37, B16470,fosA-like,1
38, B16470,mph(A)-like,1
39, B16470,mph(E),0
40, B16470,mph(E)-like,1
41, B16470,msr(E),1
42, B16470,oqxA-like,1
43, B16470,oqxB-like,1
44, B16470,rmtf,0
45, B16470,rmtf-like,0
46, B16470,strA,0
47, B16470,strB,0
48, B16470,sul1,1
49, B16470,sul1-like,0
50, B16470,sul2,0
51, B16470,tet(D),1
52, CMC_VB34444,ARR-2,0
53, CMC_VB34444,QnrB1,0
54, CMC_VB34444,QnrB1-like,0
55, CMC_VB34444,QnrB66-like,0
56, CMC_VB34444,QnrS1,0
57, CMC_VB34444,aac(3)-IIa-like,0
58, CMC_VB34444,aac(6')-Ib-like,1
59, CMC_VB34444,aac(6')Ib-cr,0
60, CMC_VB34444,aac(6')Ib-cr-like,1
61, CMC_VB34444,aacA4-like,0
62, CMC_VB34444,aadA1,0
63, CMC_VB34444,aadA2,1
64, CMC_VB34444,aadA2-like,0
65, CMC_VB34444,aph(3')-VIa-like,1
66, CMC_VB34444,armA,1
67, CMC_VB34444,armA-like,0
68, CMC_VB34444,blaCTX-M-15,1
69, CMC_VB34444,blaCTX-M-15-like,0
70, CMC_VB34444,blaLEN12-like,0
71, CMC_VB34444,blaNDM-1,1
72, CMC_VB34444,blaNDM-7-like,0
73, CMC_VB34444,blaOXA-1,1
74, CMC_VB34444,blaOXA-232,1
75, CMC_VB34444,blaOXA-232-like,0
76, CMC_VB34444,blaOXA-9-like,0
77, CMC_VB34444,blaSHV-1-like,0
78, CMC_VB34444,blaSHV-11,0
79, CMC_VB34444,blaSHV-11-like,0
80, CMC_VB34444,blaSHV-28,1
81, CMC_VB34444,blaSHV-28-like,0
82, CMC_VB34444,blaTEM-1B,0
83, CMC_VB34444,catA1-like,1
84, CMC_VB34444,catB3-like,1
85, CMC_VB34444,dfrA1,1
86, CMC_VB34444,dfrA12,1
87, CMC_VB34444,dfrA14-like,1
88, CMC_VB34444,erm(B)-like,0
89, CMC_VB34444,fosA-like,1
90, CMC_VB34444,mph(A)-like,0
91, CMC_VB34444,mph(E),0
92, CMC_VB34444,mph(E)-like,1
93, CMC_VB34444,msr(E),1
94, CMC_VB34444,oqxA-like,1
95, CMC_VB34444,oqxB-like,1
96, CMC_VB34444,rmtf,0
97, CMC_VB34444,rmtf-like,0
98, CMC_VB34444,strA,0
99, CMC_VB34444,strB,0
100, CMC_VB34444,sul1,1
101, CMC_VB34444,sul1-like,0
102, CMC_VB34444,sul2,0
103, CMC_VB34444,tet(D),1
