group,variable,value
B16470,ARR-2,0
B16470,QnrB1,0
B16470,QnrB1-like,0
B16470,QnrB66-like,0
B16470,QnrS1,0
B16470,aac(3)-IIa-like,0
B16470,aac(6')-Ib-like,0
B16470,aac(6')Ib-cr,0
B16470,aac(6')Ib-cr-like,1
B16470,aacA4-like,1
B16470,aadA1,0
B16470,aadA2,0
B16470,aadA2-like,1
B16470,aph(3')-VIa-like,0
B16470,armA,0
B16470,armA-like,1
B16470,blaCTX-M-15,1
B16470,blaCTX-M-15-like,0
B16470,blaLEN12-like,0
B16470,blaNDM-1,0
B16470,blaNDM-7-like,0
B16470,blaOXA-1,1
B16470,blaOXA-232,0
B16470,blaOXA-232-like,1
B16470,blaOXA-9-like,0
B16470,blaSHV-1-like,0
B16470,blaSHV-11,0
B16470,blaSHV-11-like,0
B16470,blaSHV-28,1
B16470,blaSHV-28-like,0
B16470,blaTEM-1B,0
B16470,catA1-like,0
B16470,catB3-like,1
B16470,dfrA1,1
B16470,dfrA12,1
B16470,dfrA14-like,1
B16470,erm(B)-like,1
B16470,fosA-like,1
B16470,mph(A)-like,1
B16470,mph(E),0
B16470,mph(E)-like,1
B16470,msr(E),1
B16470,oqxA-like,1
B16470,oqxB-like,1
B16470,rmtf,0
B16470,rmtf-like,0
B16470,strA,0
B16470,strB,0
B16470,sul1,1
B16470,sul1-like,0
B16470,sul2,0
B16470,tet(D),1
CMC_VB34444,ARR-2,0
CMC_VB34444,QnrB1,0
CMC_VB34444,QnrB1-like,0
CMC_VB34444,QnrB66-like,0
CMC_VB34444,QnrS1,0
CMC_VB34444,aac(3)-IIa-like,0
CMC_VB34444,aac(6')-Ib-like,1
CMC_VB34444,aac(6')Ib-cr,0
CMC_VB34444,aac(6')Ib-cr-like,1
CMC_VB34444,aacA4-like,0
CMC_VB34444,aadA1,0
CMC_VB34444,aadA2,1
CMC_VB34444,aadA2-like,0
CMC_VB34444,aph(3')-VIa-like,1
CMC_VB34444,armA,1
CMC_VB34444,armA-like,0
CMC_VB34444,blaCTX-M-15,1
CMC_VB34444,blaCTX-M-15-like,0
CMC_VB34444,blaLEN12-like,0
CMC_VB34444,blaNDM-1,1
CMC_VB34444,blaNDM-7-like,0
CMC_VB34444,blaOXA-1,1
CMC_VB34444,blaOXA-232,1
CMC_VB34444,blaOXA-232-like,0
CMC_VB34444,blaOXA-9-like,0
CMC_VB34444,blaSHV-1-like,0
CMC_VB34444,blaSHV-11,0
CMC_VB34444,blaSHV-11-like,0
CMC_VB34444,blaSHV-28,1
CMC_VB34444,blaSHV-28-like,0
CMC_VB34444,blaTEM-1B,0
CMC_VB34444,catA1-like,1
CMC_VB34444,catB3-like,1
CMC_VB34444,dfrA1,1
CMC_VB34444,dfrA12,1
CMC_VB34444,dfrA14-like,1
CMC_VB34444,erm(B)-like,0
CMC_VB34444,fosA-like,1
CMC_VB34444,mph(A)-like,0
CMC_VB34444,mph(E),0
CMC_VB34444,mph(E)-like,1
CMC_VB34444,msr(E),1
CMC_VB34444,oqxA-like,1
CMC_VB34444,oqxB-like,1
CMC_VB34444,rmtf,0
CMC_VB34444,rmtf-like,0
CMC_VB34444,strA,0
CMC_VB34444,strB,0
CMC_VB34444,sul1,1
CMC_VB34444,sul1-like,0
CMC_VB34444,sul2,0
CMC_VB34444,tet(D),1
JNM8C2,ARR-2,0
JNM8C2,QnrB1,0
JNM8C2,QnrB1-like,0
JNM8C2,QnrB66-like,1
JNM8C2,QnrS1,0
JNM8C2,aac(3)-IIa-like,1
JNM8C2,aac(6')-Ib-like,0
JNM8C2,aac(6')Ib-cr,1
JNM8C2,aac(6')Ib-cr-like,0
JNM8C2,aacA4-like,0
JNM8C2,aadA1,0
JNM8C2,aadA2,1
JNM8C2,aadA2-like,0
JNM8C2,aph(3')-VIa-like,0
JNM8C2,armA,1
JNM8C2,armA-like,0
JNM8C2,blaCTX-M-15,1
JNM8C2,blaCTX-M-15-like,0
JNM8C2,blaLEN12-like,0
JNM8C2,blaNDM-1,1
JNM8C2,blaNDM-7-like,0
JNM8C2,blaOXA-1,1
JNM8C2,blaOXA-232,0
JNM8C2,blaOXA-232-like,0
JNM8C2,blaOXA-9-like,0
JNM8C2,blaSHV-1-like,0
JNM8C2,blaSHV-11,1
JNM8C2,blaSHV-11-like,0
JNM8C2,blaSHV-28,0
JNM8C2,blaSHV-28-like,0
JNM8C2,blaTEM-1B,0
JNM8C2,catA1-like,0
JNM8C2,catB3-like,1
JNM8C2,dfrA1,0
JNM8C2,dfrA12,1
JNM8C2,dfrA14-like,0
JNM8C2,erm(B)-like,0
JNM8C2,fosA-like,1
JNM8C2,mph(A)-like,0
JNM8C2,mph(E),1
JNM8C2,mph(E)-like,0
JNM8C2,msr(E),1
JNM8C2,oqxA-like,1
JNM8C2,oqxB-like,1
JNM8C2,rmtf,0
JNM8C2,rmtf-like,0
JNM8C2,strA,0
JNM8C2,strB,0
JNM8C2,sul1,1
JNM8C2,sul1-like,0
JNM8C2,sul2,0
JNM8C2,tet(D),0
K219,ARR-2,0
K219,QnrB1,0
K219,QnrB1-like,0
K219,QnrB66-like,0
K219,QnrS1,0
K219,aac(3)-IIa-like,0
