group,variable,value
ARR-2,B16470,0
QnrB1,B16470,0
QnrB1-like,B16470,0
QnrB66-like,B16470,0
QnrS1,B16470,0
aac(3)-IIa-like,B16470,0
aac(6')-Ib-like,B16470,0
aac(6')Ib-cr,B16470,0
aac(6')Ib-cr-like,B16470,2
aacA4-like,B16470,2
aadA1,B16470,0
aadA2,B16470,0
aadA2-like,B16470,2
aph(3')-VIa-like,B16470,0
armA,B16470,0
armA-like,B16470,2
blaCTX-M-15,B16470,4
blaCTX-M-15-like,B16470,0
blaLEN12-like,B16470,0
blaNDM-1,B16470,0
blaNDM-7-like,B16470,0
blaOXA-1,B16470,4
blaOXA-232,B16470,0
blaOXA-232-like,B16470,4
blaOXA-9-like,B16470,0
blaSHV-1-like,B16470,0
blaSHV-11,B16470,0
blaSHV-11-like,B16470,0
blaSHV-28,B16470,4
blaSHV-28-like,B16470,0
blaTEM-1B,B16470,0
catA1-like,B16470,0
catB3-like,B16470,6
dfrA1,B16470,32
dfrA12,B16470,32
dfrA14-like,B16470,32
erm(B)-like,B16470,15
fosA-like,B16470,9
mph(A)-like,B16470,15
mph(E),B16470,0
mph(E)-like,B16470,15
msr(E),B16470,34
oqxA-like,B16470,24
oqxB-like,B16470,24
rmtf,B16470,0
rmtf-like,B16470,0
strA,B16470,0
strB,B16470,0
sul1,B16470,27
sul1-like,B16470,0
sul2,B16470,0
tet(D),B16470,29
ARR-2,CMC_VB34444,0
QnrB1,CMC_VB34444,0
QnrB1-like,CMC_VB34444,0
QnrB66-like,CMC_VB34444,0
QnrS1,CMC_VB34444,0
aac(3)-IIa-like,CMC_VB34444,0
aac(6')-Ib-like,CMC_VB34444,2
aac(6')Ib-cr,CMC_VB34444,0
aac(6')Ib-cr-like,CMC_VB34444,2
aacA4-like,CMC_VB34444,0
aadA1,CMC_VB34444,0
aadA2,CMC_VB34444,2
aadA2-like,CMC_VB34444,0
aph(3')-VIa-like,CMC_VB34444,2
armA,CMC_VB34444,2
armA-like,CMC_VB34444,0
blaCTX-M-15,CMC_VB34444,4
blaCTX-M-15-like,CMC_VB34444,0
blaLEN12-like,CMC_VB34444,0
blaNDM-1,CMC_VB34444,4
blaNDM-7-like,CMC_VB34444,0
blaOXA-1,CMC_VB34444,4
blaOXA-232,CMC_VB34444,4
blaOXA-232-like,CMC_VB34444,0
blaOXA-9-like,CMC_VB34444,0
blaSHV-1-like,CMC_VB34444,0
blaSHV-11,CMC_VB34444,0
blaSHV-11-like,CMC_VB34444,0
blaSHV-28,CMC_VB34444,4
blaSHV-28-like,CMC_VB34444,0
blaTEM-1B,CMC_VB34444,0
catA1-like,CMC_VB34444,6
catB3-like,CMC_VB34444,6
dfrA1,CMC_VB34444,32
dfrA12,CMC_VB34444,32
dfrA14-like,CMC_VB34444,32
erm(B)-like,CMC_VB34444,0
fosA-like,CMC_VB34444,9
mph(A)-like,CMC_VB34444,0
mph(E),CMC_VB34444,0
mph(E)-like,CMC_VB34444,15
msr(E),CMC_VB34444,34
oqxA-like,CMC_VB34444,24
oqxB-like,CMC_VB34444,24
rmtf,CMC_VB34444,0
rmtf-like,CMC_VB34444,0
strA,CMC_VB34444,0
strB,CMC_VB34444,0
sul1,CMC_VB34444,27
sul1-like,CMC_VB34444,0
sul2,CMC_VB34444,0
tet(D),CMC_VB34444,29
ARR-2,JNM8C2,0
QnrB1,JNM8C2,0
QnrB1-like,JNM8C2,0
QnrB66-like,JNM8C2,24
QnrS1,JNM8C2,0
aac(3)-IIa-like,JNM8C2,2
aac(6')-Ib-like,JNM8C2,0
aac(6')Ib-cr,JNM8C2,2
aac(6')Ib-cr-like,JNM8C2,0
aacA4-like,JNM8C2,0
aadA1,JNM8C2,0
aadA2,JNM8C2,2
aadA2-like,JNM8C2,0
aph(3')-VIa-like,JNM8C2,0
armA,JNM8C2,2
armA-like,JNM8C2,0
blaCTX-M-15,JNM8C2,4
blaCTX-M-15-like,JNM8C2,0
blaLEN12-like,JNM8C2,0
blaNDM-1,JNM8C2,4
blaNDM-7-like,JNM8C2,0
blaOXA-1,JNM8C2,4
blaOXA-232,JNM8C2,0
blaOXA-232-like,JNM8C2,0
blaOXA-9-like,JNM8C2,0
blaSHV-1-like,JNM8C2,0
blaSHV-11,JNM8C2,4
blaSHV-11-like,JNM8C2,0
blaSHV-28,JNM8C2,0
blaSHV-28-like,JNM8C2,0
blaTEM-1B,JNM8C2,0
catA1-like,JNM8C2,0
catB3-like,JNM8C2,6
dfrA1,JNM8C2,0
dfrA12,JNM8C2,32
dfrA14-like,JNM8C2,0
erm(B)-like,JNM8C2,0
fosA-like,JNM8C2,9
mph(A)-like,JNM8C2,0
mph(E),JNM8C2,15
mph(E)-like,JNM8C2,0
msr(E),JNM8C2,34
oqxA-like,JNM8C2,24
oqxB-like,JNM8C2,24
rmtf,JNM8C2,0
rmtf-like,JNM8C2,0
strA,JNM8C2,0
strB,JNM8C2,0
sul1,JNM8C2,27
sul1-like,JNM8C2,0
sul2,JNM8C2,0
tet(D),JNM8C2,0
ARR-2,K219,0
QnrB1,K219,0
QnrB1-like,K219,0
QnrB66-like,K219,0
QnrS1,K219,0
aac(3)-IIa-like,K219,0
aac(6')-Ib-like,K219,0
aac(6')Ib-cr,K219,0
aac(6')Ib-cr-like,K219,0
aacA4-like,K219,0
aadA1,K219,0
aadA2,K219,0
aadA2-like,K219,0
aph(3')-VIa-like,K219,0
armA,K219,0
armA-like,K219,0
blaCTX-M-15,K219,0
blaCTX-M-15-like,K219,0
blaLEN12-like,K219,0
blaNDM-1,K219,0
blaNDM-7-like,K219,4
blaOXA-1,K219,0
blaOXA-232,K219,0
blaOXA-232-like,K219,0
blaOXA-9-like,K219,0
blaSHV-1-like,K219,0
blaSHV-11,K219,0
blaSHV-11-like,K219,0
blaSHV-28,K219,0
blaSHV-28-like,K219,0
blaTEM-1B,K219,0
catA1-like,K219,0
catB3-like,K219,0
dfrA1,K219,0
dfrA12,K219,0
dfrA14-like,K219,0
erm(B)-like,K219,0
fosA-like,K219,9
mph(A)-like,K219,0
mph(E),K219,0
mph(E)-like,K219,0
msr(E),K219,0
oqxA-like,K219,0
oqxB-like,K219,0
rmtf,K219,0
rmtf-like,K219,0
strA,K219,0
strB,K219,0
sul1,K219,0
sul1-like,K219,0
sul2,K219,0
tet(D),K219,0
ARR-2,PM138,25
QnrB1,PM138,0
QnrB1-like,PM138,24
QnrB66-like,PM138,0
QnrS1,PM138,0
aac(3)-IIa-like,PM138,0
aac(6')-Ib-like,PM138,0
aac(6')Ib-cr,PM138,0
aac(6')Ib-cr-like,PM138,2
aacA4-like,PM138,2
aadA1,PM138,0
aadA2,PM138,0
aadA2-like,PM138,0
aph(3')-VIa-like,PM138,0
armA,PM138,0
armA-like,PM138,0
blaCTX-M-15,PM138,0
blaCTX-M-15-like,PM138,4
blaLEN12-like,PM138,0
blaNDM-1,PM138,0
blaNDM-7-like,PM138,0
blaOXA-1,PM138,0
blaOXA-232,PM138,4
blaOXA-232-like,PM138,0
blaOXA-9-like,PM138,0
blaSHV-1-like,PM138,0
blaSHV-11,PM138,0
blaSHV-11-like,PM138,4
blaSHV-28,PM138,0
blaSHV-28-like,PM138,0
blaTEM-1B,PM138,4
catA1-like,PM138,0
catB3-like,PM138,0
dfrA1,PM138,0
dfrA12,PM138,0
dfrA14-like,PM138,0
erm(B)-like,PM138,0
fosA-like,PM138,9
mph(A)-like,PM138,0
mph(E),PM138,0
mph(E)-like,PM138,0
msr(E),PM138,0
oqxA-like,PM138,0
oqxB-like,PM138,0
rmtf,PM138,0
rmtf-like,PM138,2
strA,PM138,2
strB,PM138,34
sul1,PM138,0
sul1-like,PM138,0
sul2,PM138,27
tet(D),PM138,0
ARR-2,PM1842,25
QnrB1,PM1842,24
QnrB1-like,PM1842,0
QnrB66-like,PM1842,0
QnrS1,PM1842,0
aac(3)-IIa-like,PM1842,0
aac(6')-Ib-like,PM1842,0
aac(6')Ib-cr,PM1842,0
aac(6')Ib-cr-like,PM1842,2
aacA4-like,PM1842,2
aadA1,PM1842,0
aadA2,PM1842,0
aadA2-like,PM1842,0
aph(3')-VIa-like,PM1842,0
armA,PM1842,0
armA-like,PM1842,0
blaCTX-M-15,PM1842,4
blaCTX-M-15-like,PM1842,0
blaLEN12-like,PM1842,0
blaNDM-1,PM1842,0
blaNDM-7-like,PM1842,0
blaOXA-1,PM1842,0
blaOXA-232,PM1842,4
blaOXA-232-like,PM1842,0
blaOXA-9-like,PM1842,0
blaSHV-1-like,PM1842,0
blaSHV-11,PM1842,4
blaSHV-11-like,PM1842,0
blaSHV-28,PM1842,0
blaSHV-28-like,PM1842,0
blaTEM-1B,PM1842,4
catA1-like,PM1842,0
