Class,Gene,Encodings
aminocoumarin,grlb,1
aminocoumarin,gyrb,1
aminocoumarin,nova,1
aminocoumarin,pare,1
aminoglycoside,2,2
aminoglycoside,a1oc_02073,2
aminoglycoside,a464_1655,2
aminoglycoside,a670_03335,2
aminoglycoside,a989_16023,2
aminoglycoside,aa309_10385,2
aminoglycoside,aac,2
aminoglycoside,aac(1),2
aminoglycoside,aac(2'),2
aminoglycoside,aac(3),2
aminoglycoside,aac(6'),2
aminoglycoside,aac(6')ib,2
aminoglycoside,aac2i,2
aminoglycoside,aac2ic,2
aminoglycoside,aac3,2
aminoglycoside,aac3viii,2
aminoglycoside,aac6,2
aminoglycoside,aaca,2
aminoglycoside,aaca4,2
aminoglycoside,aaca48,2
aminoglycoside,aaca7,2
aminoglycoside,aad(6),2
aminoglycoside,aad9,2
aminoglycoside,aad9ib,2
aminoglycoside,aada,2
aminoglycoside,aada1,2
aminoglycoside,aada11,2
aminoglycoside,aada12,2
aminoglycoside,aada13,2
aminoglycoside,aada14,2
aminoglycoside,aada15,2
aminoglycoside,aada16,2
aminoglycoside,aada17,2
aminoglycoside,aada1a,2
aminoglycoside,aada1ae,2
aminoglycoside,aada1an,2
aminoglycoside,aada1aq,2
aminoglycoside,aada1bp,2
aminoglycoside,aada1br,2
aminoglycoside,aada1bt,2
aminoglycoside,aada1h,2
aminoglycoside,aada1k,2
aminoglycoside,aada1t,2
aminoglycoside,aada2,2
aminoglycoside,aada21,2
aminoglycoside,aada22,2
aminoglycoside,aada23,2
aminoglycoside,aada23b,2
aminoglycoside,aada24,2
aminoglycoside,aada25,2
aminoglycoside,aada26,2
aminoglycoside,aada27,2
aminoglycoside,aada2a,2
aminoglycoside,aada2b,2
aminoglycoside,aada2c,2
aminoglycoside,aada3,2
aminoglycoside,aada3c,2
aminoglycoside,aada4,2
aminoglycoside,aada5,2
aminoglycoside,aada6,2
aminoglycoside,aada6/aada10,2
aminoglycoside,aada7,2
aminoglycoside,aada7e,2
aminoglycoside,aada8,2
aminoglycoside,aada8b,2
aminoglycoside,aada9,2
aminoglycoside,aadb,2
aminoglycoside,aadd,2
aminoglycoside,aade,2
aminoglycoside,aadk,2
aminoglycoside,aay84_08625,2
aminoglycoside,ab204_07245,2
aminoglycoside,ab839_00285,2
aminoglycoside,ab870_05350,2
